id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,Gender,Location
15,1,0,11.95,25,0.14,0,8.4,2.3,0,M,Chicago
18,0,0,8.22,0,,0,0,0,0,M,Chicago
23,1,0,8.91,16,0,0,13.7,0.9,0,M,Chicago
27,0,0,6.87,21,,1,0,0,0,M,Chicago
34,0,0,6.39,0,,0,0,0,0,M,Chicago
56,1,1,11.94,32,1.38,0,69.4,4,0,M,Chicago
71,0,0,8.96,18,0,0,21.3,2,0,M,Chicago
84,0,0,5.48,14,,1,0,0,0,M,Chicago
94,0,0,8.54,0,,0,0,0,0,M,Chicago
112,0,0,8.33,0,,0,0,0,0,M,Chicago
166,1,1,8.44,17,0,0,9.9,1.1,0,M,Chicago
174,1,1,11.93,10,1.28,0,10.6,0.6,0,M,Chicago
213,0,0,6.64,10,,0,0,0,0,M,Chicago
222,0,0,5.53,14,,0,0,0,0,M,Chicago
270,0,0,6.97,23,0.28,0,0,0,0,M,Chicago
288,1,1,11.93,18,1.8,0,1,0,0,M,Chicago
291,1,0,11.93,22,0.01,1,10.6,2.4,0,M,Chicago
417,0,0,6.45,40,,0,0,0,0,M,Chicago
475,0,0,6.81,14,,0,0,0,0,M,Chicago
507,1,1,11.93,65,0.21,0,116.8,12.1,0,M,Chicago
530,0,0,5.95,0,,0,0,0,0,M,Chicago
549,1,0,11.93,24,,0,9.3,0.7,0,M,Chicago
550,0,0,8.53,0,,0,0,0,0,M,Chicago
600,0,0,11.93,41,,0,24.1,3.2,0,M,California
608,0,0,8.57,20,,0,0,0,0,M,California
617,0,0,11.93,21,,0,,,0,M,California
642,0,0,5.21,14,,0,0,0,0,M,California
644,0,0,5.93,0,,0,0,0,0,M,Chicago
680,0,0,7.02,13,,0,0,0,0,M,California
682,1,0,10.93,63,0,0,38.1,7.9,0,F,New York
683,0,0,6.03,9,,0,0,0,0,F,New York
696,0,0,9.22,80,,0,235,6,0,F,New York
730,0,0,5.62,0,,0,0,0,0,M,Chicago
734,0,0,6.6,54,,0,0,0,0,M,Chicago
774,0,0,11.12,33,,0,11.4,1.6,0,M,Chicago
790,0,0,11.88,129,,0,125.8,9.2,0,M,Chicago
831,0,0,5.44,18,,0,0,0,0,M,Chicago
848,0,0,5.62,0,,0,0,0,0,M,Chicago
861,1,0,11.93,45,1.83,0,70.3,9.7,0,F,New Jersey
905,0,0,5.62,0,,0,0,0,0,F,New Jersey
921,1,0,6.35,21,,0,0,0,0,F,New Jersey
928,0,0,6.64,14,,2,0,0,0,F,New Jersey
933,1,0,5.3,79,,2,0,0,0,F,New Jersey
945,0,0,5.62,0,,0,0,0,0,F,Chicago
977,1,1,11.93,16,1.82,0,19.4,1.9,0,F,Chicago
999,0,0,5.53,13,,0,0,0,0,F,Chicago
1006,1,0,10.26,17,,0,0,0,0,F,Chicago
1038,0,0,5.7,0,,0,0,0,0,F,Chicago
1048,0,0,7.79,10,,0,0,0,0,F,Chicago
1051,1,1,8.13,22,,0,10.2,7.4,0,F,Chicago
1061,0,0,10.8,0,,0,0,0,0,F,Chicago
1075,1,1,11.93,23,1.85,0,17.5,5.9,0,M,Chicago
1151,0,0,11.93,24,,0,,,0,M,Chicago
1162,1,0,11.93,33,,0,40.9,2,0,M,Chicago
1169,1,1,11.93,24,,0,,,0,F,Chicago
1201,0,0,5.7,10,,0,0,0,0,F,Chicago
1206,1,0,9.18,20,,0,0,0,0,F,Chicago
1226,0,0,9.75,0,,0,0,0,0,F,Chicago
1266,1,1,11.93,16,1.56,0,28.3,2.1,0,F,Chicago
1281,0,0,5.62,0,,0,0,0,0,F,Chicago
1296,1,0,6.79,17,0.45,0,0,0,0,M,Chicago
1311,0,0,5.1,13,,0,0,0,0,M,Chicago
1327,0,0,7.61,13,,0,0,0,0,M,Chicago
1413,0,0,11.93,24,,0,,,0,M,Chicago
1414,0,0,5.28,13,,0,0,0,0,F,Chicago
1416,0,0,7.64,39,,0,0,0,0,F,Chicago
1455,0,0,6.97,14,,0,0,0,0,F,Chicago
1457,1,1,6.92,0,,0,0,0,0,F,Chicago
1492,1,1,11.93,20,1.8,1,62.6,5.2,0,F,Chicago
1517,1,0,11.93,37,0.44,0,26.5,2.2,0,F,Chicago
1522,1,1,11.93,10,1.21,0,10.1,0.3,0,F,Chicago
1568,0,0,5.62,0,,0,0,0,0,F,Chicago
1662,1,1,11.93,21,0.21,0,48.2,2.9,0,M,New Jersey
1664,0,0,9.21,24,,0,0,0,0,F,California
1684,0,0,5.72,0,,0,0,0,0,F,California
1693,0,0,5.62,0,,0,0,0,0,F,California
1694,0,0,6.12,14,,0,0,0,0,F,California
1709,0,0,11.93,56,,6,117.3,15.1,0,F,California
1717,1,0,10.08,20,,0,0,0,0,F,California
1733,0,0,6.81,12,,0,0,0,0,F,California
1744,1,1,8.19,14,0,4,11.5,2,0,F,California
1746,0,0,8.04,17,,0,0,0,0,F,California
1778,0,0,6.23,14,,0,0,0,0,F,California
1783,0,0,11.93,69,0.52,1,584.6,21.3,0,F,California
1793,0,0,11.93,33,,2,54.7,3.1,0,F,California
1805,0,0,11.93,24,,0,,,0,F,California
1810,1,1,11.93,40,1.1,0,446.2,8.9,0,F,California
1844,1,1,5.99,24,,0,0,0,0,F,California
1878,1,0,11.93,24,,0,2.9,0.3,0,F,California
1893,1,1,8.38,46,0,0,10.8,0.9,0,F,California
1901,0,0,8.25,50,0,1,95.1,7,0,F,California
1915,1,0,11.09,15,,0,0,0,0,F,California
1917,1,1,11.93,10,1.2,0,26.7,2.6,0,F,California
1934,0,0,7.29,14,,1,10.2,0.8,0,F,California
1947,0,0,5.34,53,,0,0,0,0,F,California
1950,1,1,11.93,15,1.66,0,2.8,0.2,0,F,California
1965,0,0,8.72,40,,0,161.6,17,0,F,California
1966,0,0,5.52,13,,0,0,0,0,F,California
1975,1,0,11.93,30,0.97,0,168.6,15.6,0,F,California
1977,1,0,7.81,24,,1,12.2,1,0,F,California
2005,1,1,12.8,0,,0,0,0,0,F,California
2008,0,0,11.93,56,,0,1140.3,65.4,0,F,California
2017,1,1,6.29,14,,0,0,0,0,F,California
2047,0,0,8.75,21,,0,13.7,1.7,0,F,California
2097,1,1,5.62,0,,0,0,0,0,F,California
2110,0,0,5.62,0,,0,0,0,0,F,California
2116,0,0,6.42,0,,0,0,0,0,F,California
2122,0,0,6.35,22,,2,0,0,0,F,California
2135,0,0,6.24,11,,0,0,0,0,F,California
2142,0,0,5.14,14,,0,0,0,0,F,California
2202,0,0,7.22,14,,0,0,0,0,F,California
2203,0,0,9.38,20,,1,2,0.2,0,F,California
2238,0,0,7.82,8,,0,0,0,0,F,Chicago
2248,1,0,11.93,25,0.4,0,,,0,F,Chicago
2252,1,0,9.59,25,,10,77.5,4.8,0,F,Chicago
2290,1,0,8.27,22,,5,96.1,5.7,0,F,Washington DC
2334,1,0,10.55,22,0,0,5,0.4,0,M,Chicago
2371,0,0,5.64,14,,0,0,0,0,M,Chicago
2416,1,0,8.36,0,,0,0,0,0,M,Chicago
2499,0,0,6.54,0,,3,0,0,3,M,Chicago
2538,0,0,7.09,7,,0,0,0,0,M,Chicago
2567,1,1,11.93,59,0.46,0,78.2,36.4,0,M,Chicago
2581,1,0,6.83,12,,0,0,0,0,M,Chicago
2587,1,1,9.23,20,,0,0,0,0,M,Chicago
2684,0,0,5.62,0,,0,0,0,0,M,Chicago
2705,0,0,5.62,0,,0,0,0,0,M,Chicago
2733,1,0,11.93,25,0.04,0,24.6,3.5,0,M,Chicago
2760,0,0,10.24,0,,0,0,0,0,M,Chicago
2781,1,1,11.93,15,1.26,0,7.1,0.9,0,M,Chicago
2790,1,0,9.96,29,,0,18.5,4,0,M,Chicago
2796,0,0,5.47,16,,0,0,0,0,M,Chicago
2839,1,1,11.93,21,1.74,0,111.9,6.6,0,M,Chicago
2852,0,0,11.93,24,,0,,,0,M,Chicago
2858,1,1,8.45,37,,2,10.1,1.6,0,M,Chicago
2882,0,0,7.04,13,,0,0,0,0,M,Chicago
2903,1,0,11.93,24,,0,10,0.7,0,M,Chicago
2926,1,1,11.93,34,1.68,2,265.7,18.4,0,M,Chicago
2943,0,0,11.93,24,,0,0.7,0.1,0,M,Chicago
2945,0,0,5.7,0,,0,0,0,0,M,Chicago
2997,0,0,5.25,0,,0,0,0,0,M,Chicago
3017,1,1,11.7,24,,0,0,0,0,F,California
3033,0,0,11.51,24,,0,0,0,0,F,California
3061,1,0,5.51,0,,0,0,0,0,F,California
3086,1,1,11.93,17,1.77,0,14.1,1,0,F,California
3121,1,0,10.19,14,,0,29,2,0,F,California
3133,1,0,11.93,21,0.12,0,107.3,2.7,0,F,California
3175,0,0,6.26,13,,0,0,0,0,F,California
3191,1,0,7.91,24,,0,11.4,1.6,0,F,California
3196,0,0,5.62,0,,0,0,0,0,F,California
3199,1,0,5.3,12,,0,0,0,3,F,California
3210,1,1,11.93,15,1.65,0,5.2,0.2,0,F,California
3226,0,0,8.33,18,,0,0,0,0,F,California
3233,0,0,9.06,20,,0,0,0,0,F,California
3252,1,0,11.89,24,,0,0,0,0,F,California
3267,1,0,7.85,5,,0,0,0,0,F,California
3274,0,0,7.21,10,,0,0,0,0,F,California
3288,0,0,7.31,14,,0,2.5,0.2,0,F,California
3329,0,0,7.44,22,,2,18.1,2.6,0,F,California
3374,0,0,5.34,0,,0,0,0,0,F,California
3388,0,0,12.16,0,,0,0,0,0,F,California
3410,1,1,11.93,15,1.32,1,68.8,3.9,0,F,California
3433,0,0,6.92,21,0.33,1,0,0,0,F,California
